,main_mode,weight
2463,SOV,1999.59859764264
2464,SOV,1999.59859764264
2471,SOV,12269.37353085303
2482,SOV,4036.77261437721
2483,SOV,5126.99587519442
2484,SOV,4036.77261437721
2487,SOV,1387.85406737685
2490,HOV,1387.85406737685
2492,SOV,1387.85406737685
2495,HOV,1387.85406737685
2506,HOV,1674.216121812869
2508,HOV,1674.216121812869
2511,HOV,1196.33170682493
2522,SOV,9699.64421279927
2523,SOV,12319.256153482289
2524,SOV,9699.64421279927
2537,SOV,356.138174190644
2551,SOV,784.23235207005
2555,SOV,1623.864050498817
2556,SOV,1623.864050498817
2559,SOV,12682.046292084291
2589,Walk,1236.203952529867
2590,Transit,973.33299710685
2591,Transit,347.367694551638
2592,Transit,441.182327386752
2593,Transit,441.182327386752
2594,Walk,441.182327386752
2595,Transit,347.367694551638
2602,SOV,240.92930535004902
2606,SOV,305.99780387524504
2608,SOV,240.92930535004902
2611,SOV,687.772133354129
2650,Bike,221.272941795213
2651,Bike,221.272941795213
2660,SOV,536.554781889441
2661,SOV,933.605320487627
2662,SOV,735.0800511885341
2666,HOV,9637.009355286671
2668,Walk,7587.760239507321
2669,Walk,9637.009355286671
2676,SOV,9758.39631387804
2677,SOV,16979.60958614776
2678,SOV,13369.00295001291
2679,SOV,4002.81861794316
2681,SOV,2921.76541455705
2682,Walk,225.168188152122
2683,Walk,225.168188152122
2685,SOV,225.168188152122
2686,SOV,715.727360648923
2691,HOV,15751.552605583549
2694,SOV,2939.02067744983
2695,SOV,2939.02067744983
2696,SOV,4026.45832810627
2697,SOV,4026.45832810627
2699,SOV,2940.94168914014
2700,SOV,518.4073907034281
2701,SOV,518.4073907034281
2702,Transit,1314.924902348641
2703,Transit,1314.924902348641
2704,Walk,1801.4471162176392
2705,Walk,1801.4471162176392
2706,SOV,221.36799649445499
2707,SOV,221.36799649445499
2708,SOV,281.153513795878
2709,SOV,281.153513795878
2710,SOV,221.36799649445499
2713,SOV,751.5279055021999
2715,SOV,1307.658555573828
2716,Walk,1307.658555573828
2717,Walk,1307.658555573828
2718,SOV,1307.658555573828
2719,SOV,1307.658555573828
2753,SOV,2080.618344757055
2755,Walk,1513.6520536752591
2756,Walk,1513.6520536752591
2759,Walk,112.464652942107
2760,Walk,112.464652942107
2765,SOV,951.7492292189361
2766,HOV,951.7492292189361
2767,HOV,117.700713487566
2768,SOV,117.700713487566
2769,SOV,85.9129295529681
2770,SOV,85.9129295529681
2794,SOV,6931.49153354196
2795,SOV,8803.50019588541
2796,SOV,8803.50019588541
2797,SOV,6931.49153354196
2814,HOV,836.098036677468
2815,SOV,849.608962886317
2821,SOV,14350.34404924839
2822,SOV,1615.993802858601
2823,SOV,2052.430085382463
2825,SOV,177.67098003825168
2826,SOV,177.67098003825168
2827,SOV,243.409242652405
2828,SOV,309.147505266558
2829,SOV,243.409242652405
2836,Transit,392.31407293842
2837,SOV,392.31407293842
2843,HOV,991.545741018641
2846,HOV,3086.98076685713
2847,SOV,2430.553822180606
2849,Transit,1504.25113149589
2855,SOV,991.545741018641
2856,Bike,991.545741018641
2857,Bike,1259.33546669521
2858,SOV,1259.33546669521
2859,SOV,723.756015342074
2860,SOV,723.756015342074
2861,SOV,723.756015342074
2862,SOV,1281.48802050992
2863,HOV,1008.98769430954
2864,SOV,1008.98769430954
2865,HOV,1281.48802050992
2866,SOV,1281.48802050992
2867,SOV,1008.98769430954
2899,Walk,590.6040348681111
2900,Walk,590.6040348681111
2915,HOV,241.37459805142
2916,HOV,241.37459805142
2917,HOV,241.37459805142
2918,HOV,652.659340635233
2919,HOV,652.659340635233
2921,HOV,652.659340635233
2922,HOV,241.37459805142
2929,SOV,226.33188722560197
2937,HOV,141.645710178865
2938,HOV,111.525645370716
2959,Walk,2722.32573197287
2960,Walk,2722.32573197287
2961,Walk,2722.32573197287
