,TRACT,centroid_x,centroid_y
130,530330060002,-122.34998272307692,47.64388215961538
131,530330060003,-122.35724970357144,47.643129550000005
132,530330060004,-122.35725228333334,47.64887727333333
133,530330061001,-122.31993361333332,47.648406316666666
134,530330061002,-122.31808861086957,47.642363708695655
135,530330061003,-122.32417292,47.64730581
136,530330061004,-122.32494043809524,47.64127530476191
137,530330062001,-122.29824421011236,47.64080870674157
138,530330062002,-122.30554510576924,47.64209066538462
139,530330062003,-122.30805337272729,47.63476081818181
140,530330063001,-122.27695522083332,47.64067369166667
141,530330063002,-122.28050038378376,47.6313197
142,530330063003,-122.28327948461538,47.636756988461535
143,530330063004,-122.28921767878788,47.63200375757575
144,530330064001,-122.29954508,47.628061244
145,530330064002,-122.31059753333334,47.62874235
146,530330064003,-122.3054201,47.628705005
147,530330065001,-122.3179414972973,47.6349707972973
148,530330065002,-122.3226782,47.62726386428572
149,530330065003,-122.3167365173913,47.62597496521739
150,530330066001,-122.32817618630136,47.629389476712326
151,530330066002,-122.32534663636363,47.637282277272725
152,530330068001,-122.35321406857142,47.63623239428571
153,530330068002,-122.35875309285714,47.63575896428572
154,530330069001,-122.3653879,47.63695623333333
155,530330069002,-122.3673422909091,47.63299426060606
156,530330069003,-122.36631412068964,47.62980711379311
157,530330076001,-122.30738196875,47.62432075
158,530330076002,-122.30539518,47.620156273333336
159,530330076003,-122.31046761333332,47.6209546
160,530330077001,-122.2939290945946,47.61954949189189
161,530330077002,-122.2984500736842,47.62318545263158
162,530330077003,-122.29929549473684,47.61520389473684
163,530330077004,-122.29983045882352,47.61956030588235
164,530330078001,-122.28357513382356,47.61242178676471
165,530330078002,-122.2882872804878,47.60918643902439
166,530330078003,-122.2888702862069,47.61392890689656
167,530330078004,-122.2881128368421,47.61961779210527
168,530330080021,-122.34254578888888,47.61161015555555
169,530330080022,-122.34714031153848,47.61234586538462
170,530330082001,-122.3323329625,47.61049739107143
171,530330082002,-122.32974821333332,47.60817354
172,530330082003,-122.33037844444443,47.61047141111111
173,530330083001,-122.32634848333332,47.609910258333336
174,530330083002,-122.330367644,47.61437777
175,530330085001,-122.32820095882352,47.60595060392157
176,530330085002,-122.32199669,47.605741935000005
177,530330085003,-122.32599706470587,47.60320802941176
178,530330086001,-122.315176732,47.60903592
179,530330086002,-122.318748744,47.608271684
180,530330086003,-122.3164663,47.60347627
181,530330087001,-122.30727901111112,47.60828434814815
182,530330087002,-122.304566225,47.60399304375
183,530330087003,-122.30970743157894,47.60352524736842
184,530330088001,-122.297417156,47.61094646
185,530330088002,-122.296694044,47.607045128
186,530330088003,-122.29778586,47.603038435
187,530330089001,-122.28814992,47.59664874
188,530330089002,-122.29429654137932,47.59481898275863
189,530330089003,-122.29697562333334,47.60003584333333
190,530330089004,-122.30022210588236,47.59525034705882
191,530330090001,-122.30438997222222,47.59765037222222
