,person_dim_id,21-5c,5-13c,13-21c,21-5s,5-13s,13-21s
2205,1712254103,0,1,3,0,0,0
2206,1712254701,0,0,4,0,0,0
2207,1712254702,0,3,2,0,2,0
2208,1712254703,0,0,2,0,0,0
2209,1712255401,0,2,8,0,0,0
2210,1712257101,0,1,2,0,1,0
2211,1712257102,1,0,2,0,0,0
2212,1712257103,0,1,2,0,0,0
2213,1712258101,0,1,3,0,0,0
2214,1712259301,0,1,1,0,0,0
2215,1712259302,0,1,1,0,0,0
2216,1712260401,0,2,1,0,1,0
2217,1712260402,0,2,1,0,0,2
2218,1712260403,0,1,1,0,0,0
2219,1712260404,0,1,1,0,0,0
2220,1712260701,1,2,5,0,0,0
2221,1712262601,0,3,1,2,1,1
2222,1712263401,0,1,1,0,0,0
2223,1712263901,0,14,13,0,0,1
2224,1712268401,0,5,6,0,0,0
2225,1712272301,1,5,4,0,3,6
2226,1712272302,1,10,11,0,1,8
2227,1712275401,0,1,2,0,2,3
2228,1712275402,0,1,1,0,1,0
2229,1712276701,0,1,5,0,0,0
2230,1712276702,0,1,3,0,0,0
2231,1712279301,0,1,1,0,0,0
2232,1712280301,2,1,1,1,0,0
2233,1712282501,1,0,1,0,0,2
2234,1712283401,0,2,2,0,0,2
2235,1712284301,7,15,21,0,3,0
2236,1712286201,1,2,6,0,6,0
2237,1712287201,0,0,0,0,2,0
2238,1712287202,0,1,1,0,0,0
2239,1712288501,1,1,6,0,0,0
2240,1712288502,1,2,4,0,1,0
2241,1712293901,0,1,1,0,0,0
2242,1712294001,2,7,16,0,0,1
2243,1712296501,1,13,6,0,2,0
2244,1712298701,0,1,1,0,0,2
2245,1712300301,0,2,0,0,1,0
2246,1712300402,0,0,3,0,0,0
2247,1712300801,0,1,1,0,0,1
2248,1712300802,0,1,0,0,1,0
2249,1712305001,0,2,2,0,0,0
2250,1712306801,0,1,1,0,0,1
2251,1712306802,0,1,1,0,0,0
2252,1712310401,1,0,4,0,0,0
2253,1712313501,1,0,1,0,0,0
2254,1712313801,0,5,4,0,0,0
2255,1712313802,0,5,2,0,0,0
2256,1712313803,0,1,1,0,0,2
2257,1712315801,1,4,14,1,1,0
2258,1712315802,1,1,6,0,1,0
2259,1712315803,1,1,8,0,0,0
2260,1712315804,1,1,8,0,0,0
2261,1712316101,0,2,3,0,0,0
2262,1712317601,0,0,1,0,0,0
2263,1712317603,0,1,1,0,0,0
2264,1712319401,0,7,13,0,2,4
2265,1712319402,0,6,13,0,0,2
2266,1712320102,0,1,1,0,0,0
2267,1712321401,0,2,1,0,0,0
2268,1712321402,0,1,2,0,0,0
2269,1712321403,0,2,1,0,0,0
2270,1712321404,0,2,1,0,0,0
2271,1712321405,0,2,1,0,0,0
2272,1712321501,0,2,0,0,0,0
2273,1712321601,0,3,1,0,0,2
2274,1712321602,0,0,0,0,0,2
2275,1712323701,0,4,3,0,0,0
2276,1712323702,0,1,2,0,0,0
2277,1712323703,0,1,2,0,0,0
2278,1712323704,0,3,1,0,0,0
2279,1712324101,0,2,3,0,0,1
2280,1712324102,0,2,0,0,0,0
2281,1712325101,0,2,2,2,4,2
2282,1712325102,0,0,5,0,0,0
2283,1712325201,0,1,2,0,0,0
2284,1712325202,0,1,2,0,0,0
2285,1712326601,0,1,1,0,0,0
2286,1712333901,0,5,3,0,1,0
2287,1712337101,0,1,1,0,0,0
2288,1712337102,0,1,1,0,0,0
2289,1712338501,0,1,3,0,0,0
2290,1712338502,0,1,3,0,0,0
2291,1712340301,3,7,19,0,1,0
2292,1712340901,0,0,4,0,0,1
2293,1712341001,0,1,1,0,0,1
2294,1712346301,0,4,6,0,0,0
2295,1712347201,0,1,2,0,0,0
2296,1712347202,0,2,2,0,0,0
2297,1712348201,0,3,11,0,0,2
2298,1712348901,0,1,1,0,0,0
2299,1712349301,0,1,3,0,0,0
2300,1712350701,1,0,0,0,0,2
2301,1712350702,1,1,0,0,0,0
2302,1712354201,0,2,3,0,0,0
2303,1712354601,0,2,2,0,0,0
2304,1712354602,0,1,3,0,0,0
2305,1712354603,0,2,0,0,0,0
2306,1712355201,0,2,5,0,1,0
2307,1712355501,0,20,12,0,4,2
2308,1712355502,1,5,7,0,0,0
2309,1712357501,0,10,11,0,1,3
2310,1712357502,0,12,6,0,4,3
2311,1712358001,0,1,1,0,0,0
2312,1712358002,0,1,1,0,0,0
2313,1712358003,0,1,1,0,0,0
2314,1712358401,0,3,3,0,1,0
2315,1712358402,0,2,2,0,1,0
2316,1712358601,0,1,2,0,0,0
2317,1712359701,2,0,2,0,2,1
2318,1712359901,0,1,7,0,3,7
2319,1712359902,0,2,6,0,4,7
2320,1712361301,0,2,2,0,3,1
2321,1712364501,0,1,1,0,0,0
2322,1712364601,1,1,2,0,0,0
2323,1712364602,0,0,2,0,0,0
2324,1712365401,0,1,1,0,0,2
2325,1712366801,0,1,1,0,0,0
2326,1712366901,0,1,0,0,2,0
2327,1712370701,0,2,7,0,0,1
2328,1712372901,1,3,4,1,0,0
2329,1712372902,1,3,2,0,0,0
2330,1712377201,0,11,16,0,3,3
2331,1712377202,0,13,10,0,9,7
2332,1712377203,0,9,8,0,2,3
2333,1712377401,0,0,2,0,0,1
2334,1712378301,0,3,2,0,0,0
2335,1712378302,1,0,3,0,0,0
2336,1712379701,0,2,0,0,0,0
2337,1712381401,0,1,3,0,2,3
2338,1712381402,0,1,2,0,0,0
2339,1712381403,0,1,2,0,0,0
2340,1712381601,0,1,1,0,2,0
2341,1712381602,0,1,1,0,0,0
2342,1712381603,0,1,1,0,0,0
2343,1712382801,0,1,3,0,0,1
2344,1712382802,0,0,2,0,0,1
2345,1712386801,4,5,7,0,2,6
2346,1712388401,6,5,9,0,3,3
2347,1712391601,0,1,2,0,0,2
2348,1712391602,0,1,2,0,0,2
2349,1712393601,0,1,3,0,0,0
2350,1712393602,0,2,2,0,0,0
2351,1712393603,0,1,1,0,0,0
2352,1712395801,0,7,12,1,0,7
2353,1712398001,0,2,3,0,0,0
2354,1712398002,0,1,2,0,0,0
2355,1712399301,0,2,4,0,3,8
2356,1712399302,0,0,3,0,0,0
2357,1712399303,0,1,1,0,0,0
2358,1712403601,0,0,2,0,2,0
2359,1712403602,0,0,0,0,0,4
2360,1712403901,3,3,6,0,2,0
2361,1712403903,0,1,4,0,1,0
2362,1712403904,0,1,1,0,0,0
2363,1712405301,1,13,18,0,2,3
2364,1712405302,0,9,9,0,0,2
2365,1712405303,1,9,10,0,0,0
2366,1712406201,0,1,1,0,0,0
2367,1712406202,0,1,1,0,0,0
2368,1712406401,1,8,10,0,2,2
2369,1712409101,0,1,1,0,0,0
2370,1712409102,0,1,1,0,0,0
2371,1712409301,0,3,3,0,0,0
2372,1712409302,0,0,0,0,2,2
2373,1712409303,0,0,2,0,1,1
2374,1712414201,0,1,3,0,0,1
2375,1712414202,0,1,3,0,0,1
2376,1712415901,0,1,4,0,0,0
2377,1712415902,0,2,0,0,0,0
2378,1712417201,0,2,5,0,8,8
2379,1712417202,0,5,11,1,0,5
2380,1712417203,0,0,4,1,1,4
2381,1712418401,0,0,3,0,0,0
2382,1712418402,0,0,3,0,0,0
2383,1712420401,0,2,3,0,0,2
2384,1712421101,0,1,1,0,0,0
2385,1712423901,0,5,5,0,1,3
2386,1712427301,0,1,1,0,0,0
2387,1712427302,0,1,1,0,0,0
2388,1712431101,2,10,9,0,1,0
2389,1712431501,0,0,2,0,1,1
2390,1712431601,0,10,6,1,10,10
2391,1712431602,0,23,9,0,3,0
2392,1712432401,0,1,3,0,0,2
2393,1712432402,0,2,4,0,0,5
2394,1712432403,0,1,3,0,0,2
2395,1712434201,11,51,10,1,2,0
2396,1712434202,0,6,7,0,0,0
2397,1712434203,0,6,7,0,0,0
2398,1712435001,0,5,8,0,0,3
2399,1712435002,0,3,18,0,0,4
2400,1712435003,0,2,14,0,0,4
2401,1712435201,0,0,4,0,0,2
